Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Area-mean temperatures of Switzerland 1864-2026

DOI: 10.18751/Climate/Timeseries/CHTM/1.4
CAT-version: 2.0.4
Creation date: 01.04.2026 (provisional value for the most recent month)

Citation:
Method: Begert M, Frei C. 2018. Long-term area-mean temperature series for Switzerland - Combining homogenized station data and high resolution grid data. Int. J. Climatol., 38: 2792-2807. https://doi.org/10.1002/joc.5460
Dataset: MeteoSwiss. Area-mean temperatures of Switzerland. doi:10.18751/Climate/Timeseries/CHTM/1.4

djf: dec-feb; mam: mar-may; jja: jun-aug; son: sep-nov; winter: oct-mar; summer: apr-sep; year: jan-dec

time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1991	-2.03	-4.57	3.08	2.38	4.84	10.15	15.24	15.32	12.28	5.04	0.74	-2.71	-3.46	3.43	13.57	6.02	0.16	10.04	4.98
1992	-2.45	-1.44	1.33	3.66	10.05	10.81	14.38	16.19	10.35	3.94	3.25	-1.35	-2.2	5.01	13.8	5.85	0.09	10.91	5.73
1993	-0.04	-2.68	-0.13	5.04	9.56	12.09	12.41	13.84	8.84	4.77	-1.04	-0.5	-1.36	4.82	12.78	4.19	0.5	10.3	5.18
1994	-1.44	-1.94	4.33	2.43	8.72	12.17	16.56	15.01	9.73	6.18	4.75	0.11	-1.29	5.16	14.58	6.88	0.7	10.77	6.38
1995	-3.79	0.64	-1.15	4.28	8.05	9.86	16.09	13	7.63	9.4	0.68	-2.32	-1.01	3.73	12.98	5.9	1.12	9.82	5.2
1996	-1.26	-4.31	-1.11	4.62	8	12.67	12.83	12.41	7.08	5.83	0.96	-2.22	-2.63	3.84	12.64	4.63	0.18	9.6	4.63
1997	-2.26	0.4	3.08	3.09	8.8	11.14	12.23	14.98	11.99	6.05	1.76	-1.05	-1.36	4.99	12.78	6.6	0.97	10.37	5.85
1998	-1.65	1.01	0.95	3.38	9.5	12.56	14.22	14.38	9.44	5.63	-1.85	-2.05	-0.56	4.61	13.72	4.41	1.18	10.58	5.46
1999	-1.46	-4.18	1.36	3.7	10.37	10.79	14.32	13.76	12.23	6.46	-0.77	-2.12	-2.57	5.14	12.96	5.97	-0.43	10.86	5.37
2000	-3.4	-0.42	1.3	4.96	10.19	13.4	11.57	14.67	11.09	6.56	1.48	0.46	-1.98	5.48	13.21	6.38	0.17	10.98	5.99
